"PVWatts: Hourly PV Performance Data"
"Requested Location:","1354 wright ave., 94087"
"City:","MOUNTAIN VIEW MOFFETT FLD NAS"
"State:","CA" 
"Lat (deg N):","37.4"
"Long (deg W):","122.05"
"Elev (m): ","12"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","22.6"
"Array Azimuth (deg):","270"
"DC Rating (kW):","10"
"DC to AC Derate Factor:","0.77"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.15"
"Cost of Electricity Generated by System ($/kWh):","0.24"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","1","0","0","8","2.1","0","8","0","0"
"1","1","2","0","0","8","0","0","8","0","0"
"1","1","3","0","0","7","2.1","0","7","0","0"
"1","1","4","0","0","8","2.6","0","8","0","0"
"1","1","5","0","0","7","1.5","0","7","0","0"
"1","1","6","0","0","7","0","0","7","0","0"
"1","1","7","0","0","6","2.6","0","6","0","0"
"1","1","8","67","2","7","2.6","1.788","4.637","0.236","0"
"1","1","9","406","48","8","2.1","35.776","6.579","93.592","5.473"
"1","1","10","501","121","11","3.6","126.962","12.559","769.916","454.759"
"1","1","11","18","144","12","3.1","136.203","14.304","1190.804","1006.173"
"1","1","12","214","234","12","0","298.488","24.61","2432.137","2162.471"
"1","1","13","236","226","13","3.1","335.015","21.652","2805.69","2521.761"
"1","1","14","0","74","13","1.5","69.473","15.049","339.246","85.415"
"1","1","15","264","195","11","4.6","356.701","18.114","3053.716","2761.785"
"1","1","16","0","97","12","3.6","99.767","14.086","702.812","378.014"
"1","1","17","0","17","12","2.1","15.91","10.595","18.168","0"
"1","1","18","0","0","10","2.1","0","10","0","0"
"1","1","19","0","0","9","1.5","0","9","0","0"
"1","1","20","0","0","9","2.1","0","9","0","0"
"1","1","21","0","0","9","0","0","9","0","0"
"1","1","22","0","0","8","2.6","0","8","0","0"
"1","1","23","0","0","8","2.6","0","8","0","0"
"1","2","0","0","0","8","2.1","0","8","0","0"
"1","2","1","0","0","7","3.1","0","7","0","0"
"1","2","2","0","0","8","3.6","0","8","0","0"
"1","2","3","0","0","9","2.6","0","9","0","0"
"1","2","4","0","0","8","2.1","0","8","0","0"
"1","2","5","0","0","8","2.1","0","8","0","0"
"1","2","6","0","0","8","3.1","0","8","0","0"
"1","2","7","0","0","8","2.6","0","8","0","0"
"1","2","8","0","2","9","4.1","1.865","7.122","0.254","0"
"1","2","9","10","58","8","4.1","52.235","7.375","198.79","28.081"
"1","2","10","0","53","9","4.1","49.695","8.5","178.994","22.496"
"1","2","11","0","108","9","4.1","100.263","9.813","724.203","401.709"
"1","2","12","0","116","9","4.6","108.551","10.127","847.65","552.522"
"1","2","13","0","106","9","3.1","99.699","10.138","714.99","391.416"
"1","2","14","0","74","9","0","69.474","10.025","347.368","89.68"
"1","2","15","0","84","9","3.1","79.529","9.381","456.562","157.099"
"1","2","16","0","86","9","3.1","86.385","9.624","538.062","219.648"
"1","2","17","0","0","9","0","0","9","0","0"
"1","2","18","0","0","8","2.1","0","8","0","0"
"1","2","19","0","0","8","2.1","0","8","0","0"
"1","2","20","0","0","8","1.5","0","8","0","0"
"1","2","21","0","0","8","3.1","0","8","0","0"
"1","2","22","0","0","8","0","0","8","0","0"
"1","2","23","0","0","7.5","0","0","7.5","0","0"
"1","3","0","0","0","7.1","0","0","7.1","0","0"
"1","3","1","0","0","6.8","0","0","6.8","0","0"
"1","3","2","0","0","6.6","0","0","6.6","0","0"
"1","3","3","0","0","6.3","0","0","6.3","0","0"
"1","3","4","0","0","6","0","0","6","0","0"
"1","3","5","0","0","5.9","0","0","5.9","0","0"
"1","3","6","0","0","5.8","0","0","5.8","0","0"
"1","3","7","0","0","6","0","0","6","0","0"
"1","3","8","48","2","6","0","1.365","0.954","0.14","0"
"1","3","9","105","66","6.9","0","54.551","4.356","219.819","34.688"
"1","3","10","51","136","8","0","117.633","10.546","954.761","702.81"
"1","3","11","257","192","9","1.5","228.404","15.066","1862.533","1622.766"
"1","3","12","119","233","10","1.5","260.497","17.919","2216.792","1957.046"
"1","3","13","67","228","10","3.1","251.592","16.15","2185.842","1927.648"
"1","3","14","284","247","11","3.6","408.056","20.991","3447.054","3143.758"
"1","3","15","0","76","11","4.1","71.552","12.354","364.469","98.999"
"1","3","16","205","151","10","2.6","287.84","16.717","2471.565","2200.233"
"1","3","17","0","0","9","3.1","0","9","0","0"
"1","3","18","0","0","9","3.6","0","9","0","0"
"1","3","19","0","0","8","3.1","0","8","0","0"
"1","3","20","0","0","8","4.1","0","8","0","0"
"1","3","21","0","0","7","2.1","0","7","0","0"
"1","3","22","0","0","8","0","0","8","0","0"
"1","3","23","0","0","8","1.5","0","8","0","0"
"1","4","0","0","0","8","1.5","0","8","0","0"
"1","4","1","0","0","6","0","0","6","0","0"
"1","4","2","0","0","7","1.5","0","7","0","0"
"1","4","3","0","0","6","1.5","0","6","0","0"
"1","4","4","0","0","7","0","0","7","0","0"
"1","4","5","0","0","7","1.5","0","7","0","0"
"1","4","6","0","0","7","1.5","0","7","0","0"
"1","4","7","0","0","7","2.6","0","7","0","0"
"1","4","8","64","2","7","1.5","1.787","4.133","0.236","0"
"1","4","9","175","67","8","1.5","52.923","6.997","204.414","29.78"
"1","4","10","56","135","9","1.5","117.27","10.7","944.432","687.531"
"1","4","11","0","129","11","0","118.806","14.953","992.556","760.15"
"1","4","12","36","204","11","2.6","202.635","15.402","1764.939","1531.633"
"1","4","13","0","81","11","1.5","76.079","12.336","412.084","127.373"
"1","4","14","0","74","11","0","69.474","11.574","344.872","88.358"
"1","4","15","0","69","11","2.1","64.757","10.986","300.456","66.478"
"1","4","16","0","105","11","2.1","108.76","12.385","841.962","545.046"
"1","4","17","0","0","9","0","0","9","0","0"
"1","4","18","0","0","9","2.1","0","9","0","0"
"1","4","19","0","0","9","1.5","0","9","0","0"
"1","4","20","0","0","8","1.5","0","8","0","0"
"1","4","21","0","0","8","2.6","0","8","0","0"
"1","4","22","0","0","8","1.5","0","8","0","0"
"1","4","23","0","0","7","2.6","0","7","0","0"
"1","5","0","0","0","7","3.1","0","7","0","0"
"1","5","1","0","0","7","2.6","0","7","0","0"
"1","5","2","0","0","8","3.6","0","8","0","0"
"1","5","3","0","0","8","2.1","0","8","0","0"
"1","5","4","0","0","8","1.5","0","8","0","0"
"1","5","5","0","0","8","2.6","0","8","0","0"
"1","5","6","0","0","8","2.1","0","8","0","0"
"1","5","7","0","0","8","2.6","0","8","0","0"
"1","5","8","48","2","9","1.5","1.365","6.166","0.137","0"
"1","5","9","0","53","9","2.1","48.3","8.009","169.473","20.03"
"1","5","10","0","95","10","0","86.422","10.71","535.814","217.783"
"1","5","11","0","108","11","2.1","100.275","12.234","716.223","392.785"
"1","5","12","0","157","12","0","146.188","17.07","1272.041","1079.271"
"1","5","13","0","112","12","1.5","105.366","13.995","784.258","472.081"
"1","5","14","0","74","11","2.1","69.475","11.348","345.241","88.553"
"1","5","15","0","137","11","2.6","134.012","13.09","1188.416","1004.031"
"1","5","16","65","119","11","1.5","166.363","15.03","1450.215","1241.13"
"1","5","17","0","0","11","0","0","11","0","0"
"1","5","18","0","0","10","2.1","0","10","0","0"
"1","5","19","0","0","10","1.5","0","10","0","0"
"1","5","20","0","0","9","0","0","9","0","0"
"1","5","21","0","0","9","1.5","0","9","0","0"
"1","5","22","0","0","8","0","0","8","0","0"
"1","5","23","0","0","8","2.1","0","8","0","0"
"1","6","0","0","0","6","0","0","6","0","0"
"1","6","1","0","0","6","1.5","0","6","0","0"
"1","6","2","0","0","7","0","0","7","0","0"
"1","6","3","0","0","6","0","0","6","0","0"
"1","6","4","0","0","7","0","0","7","0","0"
"1","6","5","0","0","7","0","0","7","0","0"
"1","6","6","0","0","7","1.5","0","7","0","0"
"1","6","7","0","0","8","0","0","8","0","0"
"1","6","8","46","2","8","0","1.364","3.046","0.138","0"
"1","6","9","20","56","8","1.5","49.461","6.866","178.657","22.406"
"1","6","10","11","130","8","1.5","114.732","9.572","941.156","682.72"
"1","6","11","76","188","9","0","184.759","16.142","1572.511","1353.36"
"1","6","12","459","200","9","2.1","364.753","19.183","2987.108","2697.24"
"1","6","13","720","129","11","1.5","488.188","27.376","3907.37","3591.23"
"1","6","14","777","102","11","1.5","542.076","29.871","4333.719","4004.573"
"1","6","15","577","123","12","0","463.151","35.712","3604.29","3296.642"
"1","6","16","506","100","12","1.5","383.795","25.557","3118.895","2824.995"
"1","6","17","0","0","11","1.5","0","11","0","0"
"1","6","18","0","0","11","0","0","11","0","0"
"1","6","19","0","0","11","0","0","11","0","0"
"1","6","20","0","0","11","2.6","0","11","0","0"
"1","6","21","0","0","11","2.6","0","11","0","0"
"1","6","22","0","0","10","2.6","0","10","0","0"
"1","6","23","0","0","11","4.1","0","11","0","0"
"1","7","0","0","0","10.4","5.1","0","10.4","0","0"
"1","7","1","0","0","10","6.2","0","10","0","0"
"1","7","2","0","0","9","5.1","0","9","0","0"
"1","7","3","0","0","9","5.7","0","9","0","0"
"1","7","4","0","0","9","8.7","0","9","0","0"
"1","7","5","0","0","10","12.3","0","10","0","0"
"1","7","6","0","0","10","8.2","0","10","0","0"
"1","7","7","0","0","10","5.1","0","10","0","0"
"1","7","8","0","1","10","7.7","0.932","8.708","0.063","0"
"1","7","9","105","66","11","4.6","54.591","10.524","213.988","32.786"
"1","7","10","0","100","11","8.7","90.534","11.399","586.129","261.44"
"1","7","11","0","129","12","5.1","118.83","13.306","1000.739","772.861"
"1","7","12","83","232","12","6.2","245.829","15.841","2123.426","1868.465"
"1","7","13","97","243","14","1.5","280.902","22.705","2360.218","2093.704"
"1","7","14","388","200","13","5.7","422.422","21.245","3554.143","3247.881"
"1","7","15","314","168","12","3.1","361.431","21.901","3034.856","2743.504"
"1","7","16","72","125","11","3.6","177.444","15.21","1545.399","1328.405"
"1","7","17","0","0","12","1.5","0","12","0","0"
"1","7","18","0","0","12","2.1","0","12","0","0"
"1","7","19","0","0","11","4.1","0","11","0","0"
"1","7","20","0","0","11","2.6","0","11","0","0"
"1","7","21","0","0","11","3.6","0","11","0","0"
"1","7","22","0","0","11","4.1","0","11","0","0"
"1","7","23","0","0","11","5.1","0","11","0","0"
"1","8","0","0","0","11","4.1","0","11","0","0"
"1","8","1","0","0","10","2.1","0","10","0","0"
"1","8","2","0","0","10","2.1","0","10","0","0"
"1","8","3","0","0","9","0","0","9","0","0"
"1","8","4","0","0","9","0","0","9","0","0"
"1","8","5","0","0","9","4.1","0","9","0","0"
"1","8","6","0","0","9","2.1","0","9","0","0"
"1","8","7","0","0","9","3.1","0","9","0","0"
"1","8","8","46","2","10","4.6","1.364","8.201","0.135","0"
"1","8","9","50","65","9","5.1","56.032","8.572","227.482","37.269"
"1","8","10","113","145","10","5.7","124.514","11.238","1020.103","803.359"
"1","8","11","23","173","12","4.6","162.282","14.554","1416.283","1210.15"
"1","8","12","54","212","13","5.7","216.804","16.526","1873.18","1632.735"
"1","8","13","532","202","12","4.6","465.591","22.205","3854.327","3539.7"
"1","8","14","314","220","13","4.6","403.164","22.448","3379.506","3078.096"
"1","8","15","6","148","13","3.6","148.704","16.602","1296.135","1101.038"
"1","8","16","22","116","12","3.1","132.2","14.286","1161.978","980.346"
"1","8","17","0","0","13","3.6","0","13","0","0"
"1","8","18","0","0","12","4.1","0","12","0","0"
"1","8","19","0","0","11","3.1","0","11","0","0"
"1","8","20","0","0","9","2.1","0","9","0","0"
"1","8","21","0","0","11","2.6","0","11","0","0"
"1","8","22","0","0","11","0","0","11","0","0"
"1","8","23","0","0","11","2.1","0","11","0","0"
"1","9","0","0","0","10","3.1","0","10","0","0"
"1","9","1","0","0","10","2.1","0","10","0","0"
"1","9","2","0","0","9","2.1","0","9","0","0"
"1","9","3","0","0","8","1.5","0","8","0","0"
"1","9","4","0","0","8","0","0","8","0","0"
"1","9","5","0","0","7","0","0","7","0","0"
"1","9","6","0","0","8","0","0","8","0","0"
"1","9","7","0","0","8","0","0","8","0","0"
"1","9","8","0","1","8","0","0.932","3.059","0.065","0"
"1","9","9","0","32","9","1.5","29.97","7.183","65.499","2.382"
"1","9","10","0","48","9","0","44.991","6.786","147.878","14.965"
"1","9","11","29","149","11","1.5","141.39","13.526","1234.956","1045.845"
"1","9","12","566","190","12","0","398.476","28.892","3091.021","2797.958"
"1","9","13","713","121","12","2.1","479.568","26.796","3852.001","3537.441"
"1","9","14","714","117","12","1.5","527.035","30.298","4212.657","3887.392"
"1","9","15","664","104","13","0","497.952","37.796","3831.316","3517.342"
"1","9","16","515","97","12","2.1","388.464","24.539","3176.73","2881.119"
"1","9","17","0","0","12","0","0","12","0","0"
"1","9","18","0","0","12","0","0","12","0","0"
"1","9","19","0","0","11","0","0","11","0","0"
"1","9","20","0","0","9","0","0","9","0","0"
"1","9","21","0","0","9","0","0","9","0","0"
"1","9","22","0","0","8","0","0","8","0","0"
"1","9","23","0","0","8","0","0","8","0","0"
"1","10","0","0","0","8","0","0","8","0","0"
"1","10","1","0","0","8","0","0","8","0","0"
"1","10","2","0","0","8","0","0","8","0","0"
"1","10","3","0","0","7","0","0","7","0","0"
"1","10","4","0","0","8","0","0","8","0","0"
"1","10","5","0","0","8","0","0","8","0","0"
"1","10","6","0","0","8","0","0","8","0","0"
"1","10","7","0","0","8","0","0","8","0","0"
"1","10","8","84","2","9","0","1.793","4.118","0.238","0"
"1","10","9","471","41","10","0","29.552","6.325","63.936","2.247"
"1","10","10","619","79","11.6","2.3","100.438","12.503","370.743","102.534"
"1","10","11","683","101","13","4.6","254.238","17.738","1829.28","1591.664"
"1","10","12","708","118","14.1","3.6","389.809","23.603","3056.416","2764.403"
"1","10","13","737","113","15","2.6","484.573","28.9","3849.321","3534.837"
"1","10","14","733","113","14","4.6","534.764","26.684","4354.141","4024.322"
"1","10","15","683","102","14","4.6","507.992","26.188","4151.76","3828.384"
"1","10","16","492","100","14","3.6","381.389","24.217","3127.489","2833.333"
"1","10","17","0","0","13","5.7","0","13","0","0"
"1","10","18","0","0","12","5.7","0","12","0","0"
"1","10","19","0","0","11","3.1","0","11","0","0"
"1","10","20","0","0","10","2.6","0","10","0","0"
"1","10","21","0","0","10","2.6","0","10","0","0"
"1","10","22","0","0","8","2.1","0","8","0","0"
"1","10","23","0","0","9","2.6","0","9","0","0"
"1","11","0","0","0","9","4.1","0","9","0","0"
"1","11","1","0","0","9","5.1","0","9","0","0"
"1","11","2","0","0","9","2.1","0","9","0","0"
"1","11","3","0","0","8","2.6","0","8","0","0"
"1","11","4","0","0","8","3.1","0","8","0","0"
"1","11","5","0","0","8","2.1","0","8","0","0"
"1","11","6","0","0","9","2.6","0","9","0","0"
"1","11","7","0","0","9","4.1","0","9","0","0"
"1","11","8","82","2","9","2.6","1.793","6.669","0.235","0"
"1","11","9","467","42","11","0","30.356","7.478","67.106","2.526"
"1","11","10","642","76","11","4.1","99.732","11.758","352.717","92.545"
"1","11","11","678","103","12","6.7","255.326","15.813","1859.196","1619.642"
"1","11","12","720","116","12","6.2","393.462","19.169","3152.641","2857.739"
"1","11","13","719","120","12","7.2","483.769","20.467","4012.647","3693.451"
"1","11","14","714","119","12","6.2","531.924","22.492","4425.705","4093.484"
"1","11","15","670","104","12","6.2","504.477","22.029","4211.677","3886.443"
"1","11","16","525","98","11","5.7","397.356","19.202","3339.403","3039.12"
"1","11","17","0","0","10","2.6","0","10","0","0"
"1","11","18","0","0","9","2.6","0","9","0","0"
"1","11","19","0","0","9","1.5","0","9","0","0"
"1","11","20","0","0","9","0","0","9","0","0"
"1","11","21","0","0","8","1.5","0","8","0","0"
"1","11","22","0","0","7","1.5","0","7","0","0"
"1","11","23","0","0","7","1.5","0","7","0","0"
"1","12","0","0","0","6","2.6","0","6","0","0"
"1","12","1","0","0","6","1.5","0","6","0","0"
"1","12","2","0","0","4","0","0","4","0","0"
"1","12","3","0","0","4","0","0","4","0","0"
"1","12","4","0","0","4","0","0","4","0","0"
"1","12","5","0","0","3","0","0","3","0","0"
"1","12","6","0","0","2","0","0","2","0","0"
"1","12","7","0","0","3","0","0","3","0","0"
"1","12","8","79","2","3","0","1.792","-2.031","0.244","0"
"1","12","9","462","43","6","1.5","31.157","4.153","71.776","2.965"
"1","12","10","636","77","9","0","100.503","9.975","364.556","99.048"
"1","12","11","695","99","10","1.5","256.548","16.924","1851.317","1612.269"
"1","12","12","714","117","12","2.1","392.971","23.408","3087.004","2794.062"
"1","12","13","737","115","12","3.1","489.014","25.309","3959.889","3642.234"
"1","12","14","732","115","12","2.6","539.333","27.961","4366.7","4036.464"
"1","12","15","688","101","13","2.1","513.105","29.486","4127.15","3804.527"
"1","12","16","502","100","13","2.1","389.129","25.609","3171.807","2876.341"
"1","12","17","0","0","11","2.6","0","11","0","0"
"1","12","18","0","0","10","3.6","0","10","0","0"
"1","12","19","0","0","9","2.1","0","9","0","0"
"1","12","20","0","0","8","3.1","0","8","0","0"
"1","12","21","0","0","8","0","0","8","0","0"
"1","12","22","0","0","7","0","0","7","0","0"
"1","12","23","0","0","6","0","0","6","0","0"
"1","13","0","0","0","5","0","0","5","0","0"
"1","13","1","0","0","4","0","0","4","0","0"
"1","13","2","0","0","4","0","0","4","0","0"
"1","13","3","0","0","2","0","0","2","0","0"
"1","13","4","0","0","3","0","0","3","0","0"
"1","13","5","0","0","4","0","0","4","0","0"
"1","13","6","0","0","4","1.5","0","4","0","0"
"1","13","7","0","0","4","0","0","4","0","0"
"1","13","8","84","2","4","0","1.793","-0.994","0.243","0"
"1","13","9","493","40","5","0","28.604","1.019","61.351","2.031"
"1","13","10","625","79","6","0","101.834","6.846","387.096","112.037"
"1","13","11","684","103","7","3.1","258.085","12.644","1910.055","1667.303"
"1","13","12","702","122","7","4.1","393.933","16.142","3212.287","2915.639"
"1","13","13","719","122","7","4.6","488.291","18.251","4098.396","3776.645"
"1","13","14","720","118","8","2.6","537.361","23.997","4440.786","4108.049"
"1","13","15","668","106","8","0","508.906","33.607","4010.013","3690.894"
"1","13","16","529","99","8","3.1","403.409","19.481","3389.597","3087.905"
"1","13","17","0","0","7","2.6","0","7","0","0"
"1","13","18","0","0","7","2.1","0","7","0","0"
"1","13","19","0","0","7","2.1","0","7","0","0"
"1","13","20","0","0","6","0","0","6","0","0"
"1","13","21","0","0","6","0","0","6","0","0"
"1","13","22","0","0","5","0","0","5","0","0"
"1","13","23","0","0","4","0","0","4","0","0"
"1","14","0","0","0","4","0","0","4","0","0"
"1","14","1","0","0","3","1.5","0","3","0","0"
"1","14","2","0","0","2","0","0","2","0","0"
"1","14","3","0","0","2","0","0","2","0","0"
"1","14","4","0","0","1","0","0","1","0","0"
"1","14","5","0","0","1","0","0","1","0","0"
"1","14","6","0","0","1","0","0","1","0","0"
"1","14","7","0","0","1","0","0","1","0","0"
"1","14","8","104","2","1","2.1","1.8","-1.664","0.246","0"
"1","14","9","473","43","2","0","31.057","-1.884","73.265","3.113"
"1","14","10","654","74","3","0","100.15","3.673","358.268","95.567"
"1","14","11","678","104","7","1.5","258.241","13.97","1903.744","1661.383"
"1","14","12","714","120","8","0","397.867","26.345","3086.017","2793.104"
"1","14","13","743","113","9","3.6","492.796","21.814","4063.635","3742.926"
"1","14","14","732","116","10","2.6","543.707","26.15","4446.285","4113.36"
"1","14","15","687","103","11","2.6","518.325","26.627","4234.1","3908.16"
"1","14","16","513","100","11","1.5","397.666","25.36","3248.607","2950.909"
"1","14","17","0","0","9","3.1","0","9","0","0"
"1","14","18","0","0","8","1.5","0","8","0","0"
"1","14","19","0","0","7","1.5","0","7","0","0"
"1","14","20","0","0","6","0","0","6","0","0"
"1","14","21","0","0","6","1.5","0","6","0","0"
"1","14","22","0","0","6","2.1","0","6","0","0"
"1","14","23","0","0","4","0","0","4","0","0"
"1","15","0","0","0","4","0","0","4","0","0"
"1","15","1","0","0","4","1.5","0","4","0","0"
"1","15","2","0","0","4","0","0","4","0","0"
"1","15","3","0","0","3","1.5","0","3","0","0"
"1","15","4","0","0","2","0","0","2","0","0"
"1","15","5","0","0","3","1.5","0","3","0","0"
"1","15","6","0","0","2","0","0","2","0","0"
"1","15","7","0","0","2","0","0","2","0","0"
"1","15","8","103","2","2","1.5","1.8","-0.964","0.245","0"
"1","15","9","469","44","5","0","31.843","1.189","75.976","3.39"
"1","15","10","637","79","7","0","103.69","8.052","393.581","115.923"
"1","15","11","690","103","8","2.6","261.174","14.068","1923.1","1679.547"
"1","15","12","708","121","9","0","397.571","27.319","3072.077","2779.587"
"1","15","13","725","121","10","2.1","493.173","25.249","4002.821","3683.913"
"1","15","14","719","120","11","2.1","542.294","28.188","4391.987","4060.906"
"1","15","15","667","108","10","2.6","514.131","25.527","4226.174","3900.485"
"1","15","16","539","99","10","2.6","411.687","22.441","3412.883","3110.539"
"1","15","17","0","0","10","0","0","10","0","0"
"1","15","18","0","0","9","1.5","0","9","0","0"
"1","15","19","0","0","8","2.1","0","8","0","0"
"1","15","20","0","0","8","1.5","0","8","0","0"
"1","15","21","0","0","7","0","0","7","0","0"
"1","15","22","0","0","7","0","0","7","0","0"
"1","15","23","0","0","7","1.5","0","7","0","0"
"1","16","0","0","0","6","0","0","6","0","0"
"1","16","1","0","0","6","0","0","6","0","0"
"1","16","2","0","0","4","2.1","0","4","0","0"
"1","16","3","0","0","6","2.1","0","6","0","0"
"1","16","4","0","0","6","2.1","0","6","0","0"
"1","16","5","0","0","6","0","0","6","0","0"
"1","16","6","0","0","6","2.1","0","6","0","0"
"1","16","7","0","0","5","0","0","5","0","0"
"1","16","8","102","2","6","2.6","1.799","3.608","0.24","0"
"1","16","9","459","46","7","1.5","33.482","5.274","82.465","4.101"
"1","16","10","632","79","8","0","103.944","9.33","393.485","115.865"
"1","16","11","684","104","10","3.1","261.471","15.757","1914.689","1671.651"
"1","16","12","720","119","13","2.6","401.711","23.952","3157.462","2862.417"
"1","16","13","743","115","14","3.6","497.886","26.897","4007.742","3688.69"
"1","16","14","731","118","14","0","548.843","40.307","4172.508","3848.493"
"1","16","15","590","129","16","3.1","490.884","29.926","3952.004","3634.578"
"1","16","16","558","109","13","3.6","434.77","24.573","3569.655","3262.965"
"1","16","17","0","0","12","2.1","0","12","0","0"
"1","16","18","0","0","11","2.6","0","11","0","0"
"1","16","19","0","0","11","2.6","0","11","0","0"
"1","16","20","0","0","9","0","0","9","0","0"
"1","16","21","0","0","10","0","0","10","0","0"
"1","16","22","0","0","9","0","0","9","0","0"
"1","16","23","0","0","8","0","0","8","0","0"
"1","17","0","0","0","8","0","0","8","0","0"
"1","17","1","0","0","7","0","0","7","0","0"
"1","17","2","0","0","7","2.1","0","7","0","0"
"1","17","3","0","0","8","2.6","0","8","0","0"
"1","17","4","0","0","8","2.1","0","8","0","0"
"1","17","5","0","0","7","0","0","7","0","0"
"1","17","6","0","0","7","1.5","0","7","0","0"
"1","17","7","0","0","7","1.5","0","7","0","0"
"1","17","8","9","3","6","0","2.635","1.093","0.52","0"
"1","17","9","76","75","8","0","61.103","5.838","273.938","54.894"
"1","17","10","259","147","9","0","134.445","12.633","1057.768","864.37"
"1","17","11","532","160","11","3.1","272.026","17.191","2077.004","1824.542"
"1","17","12","589","155","13","2.1","382.345","24.151","3033.662","2742.346"
"1","17","13","598","171","13","3.1","478.016","25.95","3886.399","3570.86"
"1","17","14","344","227","16","2.1","433.016","29.706","3505.069","3200.165"
"1","17","15","152","203","13","4.6","306.686","20.016","2616.211","2339.115"
"1","17","16","313","128","13","3.6","321.43","20.879","2702.729","2422.422"
"1","17","17","0","0","12","0","0","12","0","0"
"1","17","18","0","0","11","2.1","0","11","0","0"
"1","17","19","0","0","11","2.6","0","11","0","0"
"1","17","20","0","0","11","1.5","0","11","0","0"
"1","17","21","0","0","9","2.1","0","9","0","0"
"1","17","22","0","0","9","2.1","0","9","0","0"
"1","17","23","0","0","9","2.1","0","9","0","0"
"1","18","0","0","0","8","2.1","0","8","0","0"
"1","18","1","0","0","8","2.6","0","8","0","0"
"1","18","2","0","0","8","0","0","8","0","0"
"1","18","3","0","0","8","0","0","8","0","0"
"1","18","4","0","0","7","0","0","7","0","0"
"1","18","5","0","0","7","2.6","0","7","0","0"
"1","18","6","0","0","7","1.5","0","7","0","0"
"1","18","7","0","0","7","4.1","0","7","0","0"
"1","18","8","70","3","7","3.6","2.073","4.905","0.317","0"
"1","18","9","263","65","8","2.6","48.556","7.092","171.997","20.67"
"1","18","10","519","125","9","3.1","134.192","10.867","850.691","556.54"
"1","18","11","205","209","9","2.1","233.786","14.77","1944.643","1699.782"
"1","18","12","667","160","11","0","421.332","29.895","3244.023","2946.458"
"1","18","13","761","113","12","2.6","508.509","26.781","4099.208","3777.432"
"1","18","14","725","122","13","3.1","553.453","28.515","4480.739","4146.622"
"1","18","15","653","112","13","3.1","516.18","27.678","4203.643","3878.661"
"1","18","16","590","102","13","4.1","447.224","24.426","3676.22","3366.582"
"1","18","17","0","0","11","3.1","0","11","0","0"
"1","18","18","0","0","9","2.6","0","9","0","0"
"1","18","19","0","0","8","2.1","0","8","0","0"
"1","18","20","0","0","8","2.1","0","8","0","0"
"1","18","21","0","0","8","2.1","0","8","0","0"
"1","18","22","0","0","8","1.5","0","8","0","0"
"1","18","23","0","0","7","1.5","0","7","0","0"
"1","19","0","0","0","7","2.1","0","7","0","0"
"1","19","1","0","0","7","2.6","0","7","0","0"
"1","19","2","0","0","7","2.1","0","7","0","0"
"1","19","3","0","0","7","0","0","7","0","0"
"1","19","4","0","0","7","5.7","0","7","0","0"
"1","19","5","0","0","7","2.1","0","7","0","0"
"1","19","6","0","0","5","0","0","5","0","0"
"1","19","7","0","0","6","0","0","6","0","0"
"1","19","8","9","3","6","0","2.634","1.02","0.52","0"
"1","19","9","5","61","7","1.5","55.097","6.053","222.516","35.586"
"1","19","10","124","149","7","4.1","130.103","8.587","1113.995","937.489"
"1","19","11","649","136","8","1.5","284.414","16.086","2135.088","1879.511"
"1","19","12","780","105","9","1.5","418.838","22.641","3311.552","3012.057"
"1","19","13","748","117","11","1.5","507.662","28.34","4064.014","3743.295"
"1","19","14","773","108","13","2.1","568.463","30.986","4543.466","4207.133"
"1","19","15","703","102","13","2.1","536.714","30.339","4311.532","3983.11"
"1","19","16","560","106","14","2.1","437.695","28.182","3534.566","3228.845"
"1","19","17","0","0","13","2.1","0","13","0","0"
"1","19","18","0","0","12","0","0","12","0","0"
"1","19","19","0","0","11","2.1","0","11","0","0"
"1","19","20","0","0","9","0","0","9","0","0"
"1","19","21","0","0","9","1.5","0","9","0","0"
"1","19","22","0","0","8","1.5","0","8","0","0"
"1","19","23","0","0","8","0","0","8","0","0"
"1","20","0","0","0","7","0","0","7","0","0"
"1","20","1","0","0","7","2.1","0","7","0","0"
"1","20","2","0","0","7","2.1","0","7","0","0"
"1","20","3","0","0","7","1.5","0","7","0","0"
"1","20","4","0","0","7","2.6","0","7","0","0"
"1","20","5","0","0","6","1.5","0","6","0","0"
"1","20","6","0","0","6","2.1","0","6","0","0"
"1","20","7","0","0","6","1.5","0","6","0","0"
"1","20","8","117","3","6","1.5","2.68","3.154","0.533","0"
"1","20","9","534","44","6","2.1","31.527","4.406","73.404","3.127"
"1","20","10","706","69","6","0","108.322","7.543","389.602","113.531"
"1","20","11","789","82","9","0","276.19","20.227","1949.681","1704.517"
"1","20","12","768","108","11","1.5","416.697","24.484","3269.545","2971.246"
"1","20","13","785","107","13","0","519.069","37.505","3960.817","3643.135"
"1","20","14","810","99","14","1.5","581.714","34.215","4572.147","4234.781"
"1","20","15","759","97","14","4.1","566.358","28.65","4589.558","4251.557"
